provider_name,program_name,provider_type,cost_type,ages,address,city,state,zip,phone,email,website,source_url,notes,status
Aqua-Tots Swim School Atlanta Westside Village,,Swimming school,Unknown,,2260 Marietta Blvd NW,Atlanta,GA,30318,#ERROR!,,,,"4.6 stars, 81 reviews",Approved
"Georgia Dolphins of Henry County, Forest Park",,Swimming school,Unknown,,Bryans Dr,McDonough,GA,30252,#ERROR!,,,,"5 stars, 49 reviews",Approved
Middle Georgia Little Swimmers,,attractions,Unknown,,307 Brantley Ridge,Warner Robins,GA,31088,#ERROR!,,,,"3 stars, 6 reviews",Approved
SwimKids of Georgia Inc,,attractions,Unknown,,1505 Redi Rd,Cumming,GA,30040,#ERROR!,,,,"4.7 stars, 169 reviews",Approved
The Richmond Hill Swim Club,,Swimming facility,Unknown,,9998 Ford Ave #7,Richmond Hill,GA,31324,#ERROR!,,,,"4.3 stars, 50 reviews",Approved
Swimmerman Swim School,,Swimming school,Unknown,,553 Amsterdam Ave NE Suite 2,Atlanta,GA,30306,#ERROR!,,,,"4.9 stars, 50 reviews",Approved
Aquatic Solutions Georgia,,Swimming instructor,Unknown,,301 Gold Creek Trail,Woodstock,GA,30188,#ERROR!,,,,"5 stars, 2 reviews",Approved
Swim Warriors Incorporated,,Swimming school,Unknown,,471 Quill Dr,Dawsonville,GA,30534,#ERROR!,,,,"4.9 stars, 160 reviews",Approved
Georgia Swim School LLC,,Swimming school,Unknown,,139 Altama Connector #185,Brunswick,GA,31525,#ERROR!,,,,"5 stars, 22 reviews",Approved
"Aquatic Consultants of Ga, Inc",,Swimming instructor,Unknown,,2221 Peachtree Rd NE # D336,Atlanta,GA,30309,#ERROR!,,,,"4.9 stars, 32 reviews",Approved
Blue Tide Swim Team,,Swim club,Unknown,,144 Columbia Ave,Americus,GA,31709,#ERROR!,,,,"4.1 stars, 7 reviews",Approved
AquatiKids of Atlanta,,Swimming instructor,Unknown,,2878 Ridgemore Rd NW,Atlanta,GA,30318,#ERROR!,,,,"5 stars, 86 reviews",Approved
Johnson Aquatic Center,,Outdoor swimming pool,Unknown,,807 W Bryan St,Douglas,GA,31533,#ERROR!,,,,"4.3 stars, 12 reviews",Approved
Calhoun Aquatic Center,,Swimming facility,Unknown,,106 Yellow Jacket Dr,Calhoun,GA,30701,#ERROR!,,,,"4.7 stars, 40 reviews",Approved
Oconee Swim Academy,,Swimming instructor,Unknown,,1545 S Bishop Farms Pkwy,Watkinsville,GA,30677,#ERROR!,,,,"5 stars, 8 reviews",Approved
Warner Robins Aquanauts Swim,,Swimming school,Unknown,,210 Cohen Walker Dr,Warner Robins,GA,31088,#ERROR!,,,,"4.9 stars, 20 reviews",Approved
Swim Lessons Hawaii,,Swimming school,Unknown,,1200 Ala Moana Blvd #380,Honolulu,HI,96814,#ERROR!,,,,"5 stars, 121 reviews",Approved
Wes Deist Aquatic Center,,attractions,Unknown,,149 7th St,Idaho Falls,ID,83401,,,,,"4.1 stars, 525 reviews",Approved
British Swim School,,Swimming school,Unknown,,2363 Eagle Dr,Idaho Falls,ID,83406,#ERROR!,,,,"5 stars, 12 reviews",Approved
Cascade Aquatic & Recreation Center,,Recreation center,Unknown,,333 Kelly's Pkwy,Cascade,ID,83611,#ERROR!,,,,"4.8 stars, 212 reviews",Approved
Goldfish Swim School - Boise,,Swimming school,Unknown,,1001 N Milwaukee St,Boise,ID,83704,#ERROR!,,,,"4.9 stars, 226 reviews",Approved
Idaho Falls Swim Team,,Swimming instructor,Unknown,,545 Shoup Ave,Idaho Falls,ID,83402,#ERROR!,,,,,Approved
Club Apple,,Fitness center,Unknown,,2030 Jennie Lee Dr,Idaho Falls,ID,83404,#ERROR!,,,,"4.2 stars, 830 reviews",Approved
Pirates and Mermaids Swim Academy LLC,,Swimming school,Unknown,,5060 W 5200 S,Rexburg,ID,83440,#ERROR!,,,,"5 stars, 75 reviews",Approved
Flow Aquatics Swim School,,Swimming school,Unknown,,1875 Century Way,Boise,ID,83709,#ERROR!,,,,"4.8 stars, 55 reviews",Approved
BYU–Idaho Hart Swimming Pool,,Swimming pool,Unknown,,311 S 1st W,Rexburg,ID,83460,#ERROR!,,,,"4.3 stars, 24 reviews",Approved
Ashton City Pool,,attractions,Unknown,,305 1st St,Ashton,ID,83420,#ERROR!,,,,"4.5 stars, 34 reviews",Approved
Recreation Center,,Recreation center,Unknown,,520 Memorial Dr,Idaho Falls,ID,83402,#ERROR!,,,,"4.7 stars, 22 reviews",Approved
Idaho Falls Family YMCA,,Fitness center,Unknown,,155 N Corner Ave,Idaho Falls,ID,83402,#ERROR!,,,,"3.2 stars, 60 reviews",Approved
Lincoln County Swimming Pool,,Swimming pool,Unknown,,512 N Rail St W,Shoshone,ID,83352,#ERROR!,,,,"4.5 stars, 48 reviews",Approved
"Lifestyle Swimming Instruction, LLC",,Swimming school,Unknown,,1811 S Canonero Wy,Boise,ID,83709,#ERROR!,,,,"4.6 stars, 99 reviews",Approved
Idaho Central (Greater Boise) Aquatic Center,,Aquatic center,Unknown,,3575 S Findley Ave,Boise,ID,83705,#ERROR!,,,,"4.1 stars, 93 reviews",Approved
Mountain Wave Swimming,,Swimming school,Unknown,,3938 E 240 N Ste 4,Rigby,ID,83442,#ERROR!,,,,"4.9 stars, 35 reviews",Approved
Legrande Aqua Plunge,,Swimming pool,Unknown,,77 N Main St,Malad City,ID,83252,#ERROR!,,,,"4.6 stars, 34 reviews",Approved
Bear Lake Swim School,,Swimming school,Unknown,,716 Jackson St,Montpelier,ID,83254,#ERROR!,,,,,Approved
Salmon Swimming Pool,,Outdoor swimming pool,Unknown,,,Salmon,ID,83467,#ERROR!,,,,"4 stars, 28 reviews",Approved
Youngstrom's Swimming Lessons,,Swimming instructor,Unknown,,1990 Geneva Wy,Emmett,ID,83617,#ERROR!,,,,"5 stars, 10 reviews",Approved
Main Street Swim School: Mission Valley,,Swimming school,Unknown,,2348 Russell Park Way,San Diego,CA,92108,#ERROR!,,,,"4.9 stars, 95 reviews",Approved
Blue Gems Swim School,,Swimming school,Unknown,,7510 W Irving Park Rd,Norridge,IL,60706,#ERROR!,,,,"4.9 stars, 384 reviews",Approved
Chicago Blue Dolphins,,Swimming instructor,Unknown,,2222 N Elston Ave,Chicago,IL,60614,#ERROR!,,,,"4.9 stars, 227 reviews",Approved
"S.H.I.N.E. Swim Academy, formerly Rob Knight's Swim America",,Swimming instructor,Unknown,,904 Four Seasons Rd,Bloomington,IL,61701,#ERROR!,,,,"5 stars, 4 reviews",Approved
Chicago Swim School Mokena,,Swimming school,Unknown,,10200 191st St,Mokena,IL,60448,#ERROR!,,,,"4.6 stars, 75 reviews",Approved
Campus Rec Swim Lessons,,Swimming instructor,Unknown,,"Activities and Recreation Center, 201 E Peabody Dr",Champaign,IL,61820,#ERROR!,,,,"5 stars, 1 reviews",Approved
PRO Swim Academy,,Swimming school,Unknown,,681 Meacham Rd,Elk Grove Village,IL,60007,#ERROR!,,,,"4.7 stars, 289 reviews",Approved
Aqua-Tots Swim School Peoria,,attractions,Unknown,,7713 N Orange Prairie Rd,Peoria,IL,61615,#ERROR!,,,,"4.7 stars, 43 reviews",Approved
British Swim School of Oak Brook & Chicago Midway,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"4.9 stars, 89 reviews",Approved
Big Blue Swim School,,Swimming school,Unknown,,4207 N Western Ave,Chicago,IL,60618,#ERROR!,,,,"4.8 stars, 713 reviews",Approved
Five Points Washington,,Community center,Unknown,,360 N Wilmor Rd,Washington,IL,61571,#ERROR!,,,,"4.5 stars, 807 reviews",Approved
Goldfish Swim School - Naperville,,Swimming school,Unknown,,1688 Quincy Ave,Naperville,IL,60540,#ERROR!,,,,"4.7 stars, 234 reviews",Approved
Alli Jo's Swim School,,Swimming school,Unknown,,N Rogers Rd,Spring Valley,CA,91977,#ERROR!,,,,"5 stars, 161 reviews",Approved
Lakeside Swim School,,Swimming instructor,Unknown,,1040 W Granville Ave,Chicago,IL,60660,#ERROR!,,,,"4.8 stars, 53 reviews",Approved
"Safe Swim Academy - Swim School in Eastlake, Chula Vista",,Swimming school,Unknown,,2070 Otay Lakes Rd,Chula Vista,CA,91915,#ERROR!,,,,"5 stars, 64 reviews",Approved
British Swim School of Oswego AmericInn,,Swimming school,Unknown,,1050 Douglas Rd,Oswego,IL,60543,#ERROR!,,,,"5 stars, 24 reviews",Approved
The Swim Advantage,,Swimming school,Unknown,,16336 104th Ave Suit A,Orland Park,IL,60467,#ERROR!,,,,"4.9 stars, 87 reviews",Approved
Superior Training,,Swimming school,Unknown,,7580 S Quincy St,Willowbrook,IL,60527,#ERROR!,,,,"4.8 stars, 86 reviews",Approved
Goldfish Swim School - Plainfield,,Swimming school,Unknown,,12315 Rhea Dr,Plainfield,IL,60585,#ERROR!,,,,"4.8 stars, 300 reviews",Approved
Aqua-Tots Swim School Wheaton,,Swimming school,Unknown,,1245 Butterfield Rd,Wheaton,IL,60189,#ERROR!,,,,"4.8 stars, 110 reviews",Approved
Aqua-Tots Swim School North Indianapolis,,Swimming school,Unknown,,4825 E 96th St,Indianapolis,IN,46240,#ERROR!,,,,"4.9 stars, 200 reviews",Approved
Indiana Swimming,,Swim club,Unknown,,11550 N Meridian St,Carmel,IN,46032,#ERROR!,,,,"4.5 stars, 4 reviews",Approved
Goldfish Swim School - Carmel,,Swimming school,Unknown,,271 Merchants Square Dr Suite A-110,Carmel,IN,46032,#ERROR!,,,,"4.8 stars, 228 reviews",Approved
Franklin Swim School,,Swimming instructor,Unknown,,2600 Cumberland Dr,Franklin,IN,46131,,,,,,Approved
Westfield Aquatics Center,,Swimming facility,Unknown,,851 E 181st St,Westfield,IN,46074,,,,,"4.5 stars, 43 reviews",Approved
Carmel Swim Academy,,Swimming school,Unknown,,830 City Center Dr,Carmel,IN,46032,#ERROR!,,,,"4.7 stars, 24 reviews",Approved
IU Natatorium at IU Indianapolis,,Aquatic center,Unknown,,901 W New York St,Indianapolis,IN,46202,#ERROR!,,,,"4.8 stars, 520 reviews",Approved
Emler Swim School Stony Creek,,Swimming school,Unknown,,15550 Stony Creek Way,Noblesville,IN,46060,#ERROR!,,,,"4.7 stars, 229 reviews",Approved
Carmel Swim Club,,attractions,Unknown,,515 E Main St Suite 100,Carmel,IN,46032,#ERROR!,,,,"4.6 stars, 39 reviews",Approved
Aquatic Center,,Swimming pool,Unknown,,1216 S Indiana Ave,Goshen,IN,46526,#ERROR!,,,,"4.5 stars, 19 reviews",Approved
British Swim School at Hampton Inn & Suites - Avon,,Swimming school,Unknown,,193 Angelina Way,Avon,IN,46123,#ERROR!,,,,"5 stars, 29 reviews",Approved
British Swim School,,Swimming school,Unknown,,36 E 8th St,Hobart,IN,46342,#ERROR!,,,,"5 stars, 1 reviews",Approved
Indy Swim Studio,,Swimming instructor,Unknown,,10830 Bennett Pkwy Ext suite g,Zionsville,IN,46077,#ERROR!,,,,"4.4 stars, 7 reviews",Approved
Nassau Swim Club,,Swim club,Unknown,,1001 N 500 W Rd,Muncie,IN,47304,#ERROR!,,,,"4.7 stars, 19 reviews",Approved
Eichling Aquatics Wing,,Indoor swimming pool,Unknown,,S 900 E,Upland,IN,46989,,,,,"4.8 stars, 4 reviews",Approved
Aquatic Abilities Swimming,,Swimming school,Unknown,,1463 Queensborough Dr,Carmel,IN,46033,#ERROR!,,,,"5 stars, 1 reviews",Approved
Little Fish Swim,,Swimming instructor,Unknown,,,,,,,,,,"5 stars, 7 reviews",Approved
Central Iowa Swim,,Swimming school,Unknown,,10815 NW 105 Ct,Granger,IA,50109,#ERROR!,,,,,Approved
Tama-Toledo Family Aquatic Center,,Swimming facility,Unknown,,1306 S Church St,Toledo,IA,52342,#ERROR!,,,,"4.4 stars, 65 reviews",Approved
Aqua-Tots Swim School Des Moines,,Swimming school,Unknown,,7125 Mills Civic Pkwy,West Des Moines,IA,50266,#ERROR!,,,,"4.3 stars, 158 reviews",Approved
Conrad Family Aquatic Center,,Sports complex,Unknown,,112 Boyd St,Conrad,IA,50621,#ERROR!,,,,"4.9 stars, 7 reviews",Approved
Eldora Aquatic Center,,attractions,Unknown,,709 14th Ave,Eldora,IA,50627,#ERROR!,,,,"4.6 stars, 45 reviews",Approved
Meyer Municipal Aquatic Center,,Swimming facility,Unknown,,101 E Rocksylvania Ave,Iowa Falls,IA,50126,#ERROR!,,,,"4.5 stars, 50 reviews",Approved
Linn-Mar Aquatic Center,,Swimming facility,Unknown,,"3457 North, 10th St",Marion,IA,52302,#ERROR!,,,,"4.8 stars, 104 reviews",Approved
Williamsburg Aquatic Center,,Aquatic center,Unknown,,910 Franklin St,Williamsburg,IA,52361,#ERROR!,,,,"4.6 stars, 31 reviews",Approved
Humboldt Family Aquatic Centre,,attractions,Unknown,,14 S 3rd St,Humboldt,IA,50548,#ERROR!,,,,"4.6 stars, 43 reviews",Approved
Mercer Park Aquatic Center Scanlon Gymnasium,,Gym,Unknown,,2701 Bradford Dr,Iowa City,IA,52240,#ERROR!,,,,"4.3 stars, 12 reviews",Approved
Des Moines Swim Lessons - Central Iowa Aquatics Swim School,,Swimming school,Unknown,,205 S 64th St #8623,West Des Moines,IA,50266,#ERROR!,,,,,Approved
Fairbank Aquatic Center,,Outdoor swimming pool,Unknown,,100-148 S 5th St,Fairbank,IA,50629,#ERROR!,,,,"4.5 stars, 28 reviews",Approved
Coe College Swim Lessons,,Swimming school,Unknown,,1220 1st Ave NE,Cedar Rapids,IA,52402,,,,,"4 stars, 4 reviews",Approved
Eagle Grove Aquatic Center,,attractions,Unknown,,"Greenwood Park, 810 NE 2nd St",Eagle Grove,IA,50533,#ERROR!,,,,"4.4 stars, 40 reviews",Approved
Diventures,,attractions,Unknown,,1895 W Penn St,North Liberty,IA,52317,#ERROR!,,,,"4.9 stars, 187 reviews",Approved
Emler Swim School of Kansas City - Westwood,,Swimming school,Unknown,,2848 W 47th Ave,Kansas City,KS,66103,#ERROR!,,,,"4.9 stars, 458 reviews",Approved
Emler Swim School of Kansas City - Northland,,Swimming school,Unknown,,8350 N Broadway,Kansas City,MO,64118,#ERROR!,,,,"4.9 stars, 131 reviews",Approved
Turner Aquatic Center,,Swimming facility,Unknown,,2211 S 55th St,Kansas City,KS,66106,#ERROR!,,,,"4.6 stars, 107 reviews",Approved
Shelbyville Family Aquatic Center,,attractions,Unknown,,415 E North 9th St,Shelbyville,IL,62565,#ERROR!,,,,"4.7 stars, 63 reviews",Approved
Aqua-Tots Swim School Prairie Village,,Swimming instructor,Unknown,,5364 W 95th St,Prairie Village,KS,66207,#ERROR!,,,,"4.8 stars, 98 reviews",Approved
Lawrence Swim School,,Swimming instructor,Unknown,,510 N 1700 Rd,Lawrence,KS,66049,#ERROR!,,,,"4.8 stars, 8 reviews",Approved
The Park Hill Aquatic Center,,attractions,Unknown,,8152 N Congress Ave,Kansas City,MO,64153,#ERROR!,,,,"4.5 stars, 42 reviews",Approved
Goldfish Swim School - Overland Park,,Swimming school,Unknown,,7541 W 119th St,Overland Park,KS,66213,#ERROR!,,,,"4.9 stars, 341 reviews",Approved
Aqua-Tots Swim School Olathe,,Swimming school,Unknown,,11943 S Strang Line Rd,Olathe,KS,66062,#ERROR!,,,,"4.8 stars, 356 reviews",Approved
Topeka Swim Association,,Swim club,Unknown,,530 SW Tuffy Kellogg Dr #03/02,Topeka,KS,66606,#ERROR!,,,,"4.5 stars, 46 reviews",Approved
Emler Swim School of Kansas City-Leawood,,Swimming school,Unknown,,3612 W 135th St space d201,Leawood,KS,66224,#ERROR!,,,,"4.9 stars, 413 reviews",Approved
City of Burlingame Swimming,,attractions,Unknown,,300 N Dacotah St,Burlingame,KS,66413,#ERROR!,,,,"4.4 stars, 21 reviews",Approved
Goldfish Swim School - Lenexa,,Swimming school,Unknown,,8566 Maurer Rd,Lenexa,KS,66219,#ERROR!,,,,"4.8 stars, 186 reviews",Approved
Kansas City Blazers Swim Team,,Sports club,Unknown,,6501 Antioch Rd,Merriam,KS,66202,#ERROR!,,,,"5 stars, 5 reviews",Approved
SuperStar Aquatics,,Swimming instructor,Unknown,,1023 E 7th St,Pittsburg,KS,66762,#ERROR!,,,,"5 stars, 3 reviews",Approved
Tsunami Swim Team of Kc,,Sports club,Unknown,,6603 Royal St,Pleasant Valley,MO,64068,,,,,"5 stars, 1 reviews",Approved
Lacrosse Swimming Pool,,Swimming pool,Unknown,,110 4th St,La Crosse,KS,67548,#ERROR!,,,,"4.4 stars, 12 reviews",Approved
Kicking Kiddos Swimming Lessons,,Swimming instructor,Unknown,,3002 N Kansas Ave,Topeka,KS,66617,#ERROR!,,,,"5 stars, 7 reviews",Approved
Flying Fish Swim School,,Swimming school,Unknown,,421 SW Van Buren St,Topeka,KS,66603,#ERROR!,,,,,Approved
"SafeSplash Kansas City, Zona Rosa",,Swimming school,Unknown,,8680 NW Prairie View Rd,Kansas City,MO,64153,#ERROR!,,,,"4.7 stars, 84 reviews",Approved
British Swim School at Home2 Suites by Hilton - Lexington Keeneland Airport,,Swimming school,Unknown,,960 Midnight Pass,Lexington,KY,40513,#ERROR!,,,,"5 stars, 21 reviews",Approved
"Goldfish Swim School - Nicholasville Rd., Lexington",,Swimming school,Unknown,,2520 Nicholasville Rd Suite 30,Lexington,KY,40503,#ERROR!,,,,"4.9 stars, 67 reviews",Approved
ISR Kentucky Aquatics,,Swimming instructor,Unknown,,3882 Mall Rd,Lexington,KY,40503,,,,,"5 stars, 70 reviews",Approved
Aqua-Tots Swim School Lexington,,Swimming school,Unknown,,220 Ruccio Way Ste. 150,Lexington,KY,40503,#ERROR!,,,,"4.7 stars, 243 reviews",Approved
Aqua-Tots Swim School Lexington-Hamburg,,Swimming school,Unknown,,2300 Sir Barton Way,Lexington,KY,40509,#ERROR!,,,,"4.9 stars, 174 reviews",Approved
Kentucky Swim Academy,,Swimming school,Unknown,,1935 Stanton Way,Lexington,KY,40511,,,,,"5 stars, 1 reviews",Approved
Southland Aquatic Center,,attractions,Unknown,,625 Hill N Dale Rd,Lexington,KY,40503,#ERROR!,,,,"4.4 stars, 292 reviews",Approved
Lebanon Aquatic Center,,Indoor swimming pool,Unknown,,525 Graham Mem Dr,Lebanon,KY,40033,#ERROR!,,,,"4.4 stars, 138 reviews",Approved
Lexington Dolphins Swim Team,,Sports club,Unknown,,730 Millpond Rd,Lexington,KY,40514,#ERROR!,,,,"5 stars, 3 reviews",Approved
Swim Life of NKY,,Swimming school,Unknown,,7333 Burlington Pike,Florence,KY,41042,#ERROR!,,,,"5 stars, 24 reviews",Approved
Bear Paddle Swim School - Florence,,Swimming school,Unknown,,4012 Seligman Dr,Florence,KY,41042,#ERROR!,,,,"4.3 stars, 121 reviews",Approved
Bear Paddle Swim School - Louisville,,attractions,Unknown,,2915 S Hurstbourne Pkwy Suite A,Louisville,KY,40220,#ERROR!,,,,"4.2 stars, 118 reviews",Approved
Boles Natatorium - Centre College Swimming Pool,,Swimming pool,Unknown,,310 College St,Danville,KY,40422,#ERROR!,,,,"4.6 stars, 20 reviews",Approved
SafeSplash + SwimLabs - Louisville (Springhurst),,Swimming school,Unknown,,3572 Springhurst Blvd,Louisville,KY,40241,#ERROR!,,,,"4.9 stars, 188 reviews",Approved
Lexington Athletic Club,,Fitness center,Unknown,,3882 Mall Rd,Lexington,KY,40503,#ERROR!,,,,"3.4 stars, 107 reviews",Approved
Diventures Swim School - TownePlace Suites by Marriott Lexington Keeneland/Airport,,Swimming school,Unknown,,980 Midnight Pass,Lexington,KY,40513,#ERROR!,,,,,Approved
Love Swimming Swim School,,Swimming school,Unknown,,5221 S Front St,New Orleans,LA,70115,#ERROR!,,,,"4.6 stars, 29 reviews",Approved
"Goldfish Swim School - Covington, LA",,Swimming school,Unknown,,50 Park Pl,Covington,LA,70433,#ERROR!,,,,"5 stars, 56 reviews",Approved
Crawfish Swim School- Siegen,,Swimming school,Unknown,,8556 Siegen Ln,Baton Rouge,LA,70810,#ERROR!,,,,"4.9 stars, 46 reviews",Approved
The Pool School- Swimming Lessons,,Swimming school,Unknown,,11314 Cloverland Ave,Baton Rouge,LA,70809,#ERROR!,,,,"4.9 stars, 15 reviews",Approved
Tadpole Academy Swim School,,Swimming school,Unknown,,18465 Perkins Rd,Prairieville,LA,70769,#ERROR!,,,,"4.9 stars, 218 reviews",Approved
Crawfish Aquatics in Lafayette,,Swim club,Unknown,,107 Susan St,Lafayette,LA,70506,#ERROR!,,,,"4.4 stars, 113 reviews",Approved
Northshore Swim,,Swimming school,Unknown,,690 Albert St,Mandeville,LA,70448,#ERROR!,,,,"4.9 stars, 121 reviews",Approved
Ms Rick's Swim School,,Swimming school,Unknown,,4680 NE Evangeline Thruway,Carencro,LA,70520,#ERROR!,,,,"4.6 stars, 11 reviews",Approved
Fishys Aquatics Swimming Lessons,,Swimming instructor,Unknown,,13102 Babin Rd,Gonzales,LA,70737,#ERROR!,,,,"5 stars, 66 reviews",Approved
Crawfish Aquatics Swim Team (Bluebonnet),,Swim club,Unknown,,7150 Bluebonnet Blvd,Baton Rouge,LA,70810,#ERROR!,,,,"4.6 stars, 66 reviews",Approved
Crawfish Swim School- Prairieville,,Swimming school,Unknown,,15077 LA-73 B,Prairieville,LA,70769,#ERROR!,,,,"4.8 stars, 30 reviews",Approved
South Louisiana Swim Team,,Swim club,Unknown,,4828 Utica St,Metairie,LA,70006,#ERROR!,,,,"4.9 stars, 29 reviews",Approved
City of Lafayette Aquatics,,Swimming instructor,Unknown,,1919 Eraste Landry Rd,Lafayette,LA,70506,#ERROR!,,,,"4.5 stars, 13 reviews",Approved
Jump Swim Schools Shreveport USA,,Swimming school,Unknown,,7141 Youree Dr #100,Shreveport,LA,71105,#ERROR!,,,,"4.9 stars, 144 reviews",Approved
Swim-Smart @ Harrys,,Swimming school,Unknown,,4709 Airline Dr,Metairie,LA,70001,#ERROR!,,,,"5 stars, 2 reviews",Approved
Dupuy Swim Lessons,,Swimming school,Unknown,,6969 LA-1,Addis,LA,70710,#ERROR!,,,,"5 stars, 2 reviews",Approved
Riverside Swimming Club,,Swimming pool,Unknown,,420 Corona Dr,Lafayette,LA,70503,#ERROR!,,,,"4.6 stars, 67 reviews",Approved
British Swim School at Lambeth House Pool,,Swimming school,Unknown,,150 Broadway St,New Orleans,LA,70118,#ERROR!,,,,"5 stars, 23 reviews",Approved
Gert Town Natatorium,,Indoor swimming pool,Unknown,,3411 Broadway St,New Orleans,LA,70125,#ERROR!,,,,"4.8 stars, 147 reviews",Approved
Southside Swim Club,,Swimming instructor,Unknown,,2815 Mackey Ln,Shreveport,LA,71118,#ERROR!,,,,"4.7 stars, 52 reviews",Approved
InstaSwim,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"4.9 stars, 177 reviews",Approved
Goldfish Swim School - Portland,,Swimming school,Unknown,,512 Warren Ave,Portland,ME,4103,#ERROR!,,,,"4.8 stars, 141 reviews",Approved
Southern Maine Swim Academy,,Swimming instructor,Unknown,,64 Dow Hwy,Eliot,ME,3903,,,,,"5 stars, 14 reviews",Approved
Goldfish Swim School - Astoria,,Swimming school,Unknown,,33-12 36th Ave,Astoria,NY,11106,#ERROR!,,,,"4.1 stars, 181 reviews",Approved
Maine Splash Swim School,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"5 stars, 2 reviews",Approved
Goldfish Swim School - UES E. 80th Street,,Swimming school,Unknown,,1534 2nd Ave,New York,NY,10021,#ERROR!,,,,"4.9 stars, 54 reviews",Approved
Little Waves Swim Academy,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"5 stars, 8 reviews",Approved
YWCA Central Maine,,Non-profit organization,Unknown,,130 East Ave,Lewiston,ME,4240,#ERROR!,,,,"4.3 stars, 85 reviews",Approved
Goldfish Swim School - Gowanus (Brooklyn),,Swimming school,Unknown,,620 Degraw St,Brooklyn,NY,11217,#ERROR!,,,,"4.8 stars, 261 reviews",Approved
Lura E Hoit Pool,,attractions,Unknown,,146 Western Ave,Hampden,ME,4444,#ERROR!,,,,"4.5 stars, 129 reviews",Approved
Beth Pancoe Aquatic Center,,Aquatic center,Unknown,,175 13th St,Bangor,ME,4401,#ERROR!,,,,"4.4 stars, 149 reviews",Approved
Waterbark Wellness,,Gym,Unknown,,6 Commercial St,Rockport,ME,4856,#ERROR!,,,,"5 stars, 5 reviews",Approved
Deering Oaks Kids' Pool,,Swimming pool,Unknown,,110-108 ME-25,Portland,ME,4102,,,,,"4.5 stars, 8 reviews",Approved
John P. Davan Pool,,Indoor swimming pool,Unknown,,426 Bridge St,Westbrook,ME,4092,#ERROR!,,,,"4.7 stars, 11 reviews",Approved
YMCA of Southern Maine - Northern York County Branch,,Non-profit organization,Unknown,,3 Pomerleau St,Biddeford,ME,4005,#ERROR!,,,,"3.6 stars, 42 reviews",Approved
Swim Time,,Swimming instructor,Unknown,,969 Spring St,Westbrook,ME,4092,#ERROR!,,,,"3.2 stars, 9 reviews",Approved
Red Cross Beach,,Swimming lake,Unknown,,Red Cross Alley,Greenville,ME,4441,,,,,"4.8 stars, 11 reviews",Approved
Chebeague Recreation Center,,Recreation center,Unknown,,382 N Rd,Chebeague Island,ME,4017,#ERROR!,,,,"4.3 stars, 8 reviews",Approved
South Portland Community Center,,Recreation center,Unknown,,21 Nelson Rd,South Portland,ME,4106,#ERROR!,,,,"4.6 stars, 180 reviews",Approved
Pearl Krongard’s Swim School,,Swimming instructor,Unknown,,8910 Stanford Blvd,Columbia,MD,21045,#ERROR!,,,,"4.3 stars, 73 reviews",Approved
Goldfish Swim School - Columbia,,Swimming school,Unknown,,9315 Snowden River Pkwy,Columbia,MD,21046,#ERROR!,,,,"4.6 stars, 344 reviews",Approved
Rockville Swim & Fitness Center,,Swimming facility,Unknown,,355 Martins Ln,Rockville,MD,20850,#ERROR!,,,,"4.4 stars, 554 reviews",Approved
Goldfish Swim School - Rockville,,Swimming school,Unknown,,1701 Rockville Pike,Rockville,MD,20852,#ERROR!,,,,"4.6 stars, 259 reviews",Approved
Shippey Aquatic Center,,Swimming facility,Unknown,,1817-1857 Dabney Dr,Pasadena,TX,77502,#ERROR!,,,,"5 stars, 16 reviews",Approved
Center Lane Swim School,,Swimming school,Unknown,,175 Mitchells Chance Rd,Edgewater,MD,21037,#ERROR!,,,,"4.9 stars, 49 reviews",Approved
Big Blue Swim School,,Swimming school,Unknown,,8910 Old Annapolis Rd Ste A,Columbia,MD,21045,#ERROR!,,,,"4.8 stars, 133 reviews",Approved
Miss Jesse Swims,,Swimming school,Unknown,,Kerger Rd,Ellicott City,MD,21043,#ERROR!,,,,"5 stars, 17 reviews",Approved
Goldfish Swim School - Silver Spring,,Swimming school,Unknown,,11800 Tech Rd,Silver Spring,MD,20904,#ERROR!,,,,"4.7 stars, 335 reviews",Approved
KIDS FIRST Swim School - Severna Park,,Swimming school,Unknown,,470 Ritchie Hwy,Severna Park,MD,21146,#ERROR!,,,,"4.3 stars, 96 reviews",Approved
British Swim School at LA Fitness - Severn,,Swimming school,Unknown,,7858-A Quarterfield Rd,Severn,MD,21144,#ERROR!,,,,"4.9 stars, 18 reviews",Approved
West Laurel Swim Club,,Swim club,Unknown,,7203 Brooklyn Bridge Rd,Laurel,MD,20707,#ERROR!,,,,"4.6 stars, 67 reviews",Approved
Fairland Sports and Aquatics Complex,,Sports complex,Unknown,,13820 Old Gunpowder Rd,Laurel,MD,20707,#ERROR!,,,,"4.4 stars, 395 reviews",Approved
A1 Swimming,,Swimming school,Unknown,,7510 Maple Ave,Takoma Park,MD,20912,#ERROR!,,,,"4.8 stars, 43 reviews",Approved
West Arundel Swim Club,,Swim club,Unknown,,259 Old Line Ave,Laurel,MD,20724,#ERROR!,,,,"4.5 stars, 39 reviews",Approved
